School_code,Attendance,Enrollment,New_student,Withdrawals,African_American,White,Asian,Latino,Other,Pacific_Islander,Low_income_family,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME,Drugs,Morals,Assaults,Weapons,Thefts,Total_suspensions,One_suspension,Two_suspensions,Three_suspensions,Three_plus_suspensions,Teacher_attendance,Special_education,Gifted_education,English_second_language,Average_salary
8030,88.5,2022.8,140,173,30.62,42.26,14.16,12.26,0.62,0,58.56,GEORGE WASHINGTON HIGH,"WASHINGTON, GEORGE HIGH SCHOOL",10175 BUSTLETON AVE.,19116,NA,PHILADELPHIA,PA,2159612001,9,12,www.philasd.org/schools/gwhs,HIGH SCHOOL,10,2.25,25.25,3.5,4,512,299.75,107.75,49.75,54.75,94.6,18.14,7,9.22,72712.54412
8040,95.1,364.2,6.6,8.4,25.725,53.125,4.275,14.275,2.575,0,53.125,ARTS ACADEMY AT BENJAMIN RUSH,ARTS ACADEMY AT BENJAMIN RUSH,11081 KNIGHTS RD.,19154,NA,PHILADELPHIA,PA,2152812603,9,12,,HIGH SCHOOL,0.75,0,1.5,0.5,0.25,12.25,10.75,1.25,0.25,0,96.8,11.2,12.86,2.88,61643.4
8090,92.72,754,5.6,16,30.52,42.06,5.36,20.96,1.1,0,63.34,SWENSON ARTS/TECH HIGH SCHOOL,SWENSON ARTS/TECH HIGH SCHOOL,2750 RED LION RD.,19114,NA,PHILADELPHIA,PA,2159612009,9,12,www.swenson.phila.k12.pa.us,CAREER AND TECHNICAL HIGH SCHL,3.75,0.25,8.5,2.25,5.5,81,59.75,13.5,3.5,4.25,93.775,17.52,3.72,5.48,75027.90323
8120,94,1176,76,69.2,34.52,20.72,19.22,20.84,4.7,0,67.04,WOODROW WILSON MIDDLE SCHOOL,"WILSON, WOODROW MIDDLE SCHOOL",1800 COTTMAN AVE.,19111,NA,PHILADELPHIA,PA,2157285015,6,8,www.philasd.org/schools/wilson,MIDDLE SCHOOL,1.25,0.5,13.5,1.5,0.25,175,110,33,15.75,16.25,94.8,13.98,3.42,10.16,67988.34615
8140,91.8,616.8,50.8,54.8,31.8,44.1,5.1,16.22,2.8,0,75.18,AUSTIN MEEHAN MIDDLE SCHOOL,"MEEHAN, AUSTIN MIDDLE SCHOOL",3001 RYAN AVE.,19152,NA,PHILADELPHIA,PA,2153355654,7,8,www.philasd.org/schools/meehan,MIDDLE SCHOOL,0.5,4,22,3.75,1,122.25,69.5,25.5,11.75,15.5,93.925,24.36,5.26,5.44,65819.6
8160,94.58,1274.8,46.6,101.6,17.66,52.5,17.44,9.36,3.02,0.02,56.32,BALDI MIDDLE SCHOOL,BALDI MIDDLE SCHOOL,8801 VERREE RD.,19115,NA,PHILADELPHIA,PA,2159612003,6,8,www.philasd.org/schools/baldi,MIDDLE SCHOOL,1.5,0.25,4,2.25,1,88.25,53.75,17.25,6.75,10.5,95.35,16.88,17.78,8.36,75229.17544
8180,95.3,492.8,37,18.2,12.34,66.76,3.5,8.7,8.62,0,55.78,JOHN HANCOCK SCHOOL,"HANCOCK, JOHN SCHOOL",3700 MORRELL AVE.,19114,NA,PHILADELPHIA,PA,2152812604,0,5,www.philasd.org/schools/hancock,ELEMENTARY SCHOOL,0.75,0.5,3.25,1.25,0,17,11.25,3,1.5,1.25,94.775,18.96,5.48,3.08,73453
8200,93.56,896.6,102.4,75,33.66,26.44,12.34,21.24,6.24,0.02,80.96,ETHAN ALLEN SCHOOL,"ALLEN, ETHAN SCHOOL",6329 BATTERSBY ST.,19149,NA,PHILADELPHIA,PA,2155372530,0,8,,ELEMENTARY SCHOOL,0.5,1,18.5,3.25,1,131,71.5,28.5,15.75,15.25,92.85,10.42,4.16,13.88,70505.16667
8210,93.58,547.8,68.4,54.2,25.64,48.7,3.68,13.9,8.02,0,79.9,J. BROWN ACADEMICS PLUS SCHOOL,"BROWN, JOSEPH H. SCHOOL",3600 STANWOOD ST.,19136,NA,PHILADELPHIA,PA,2153355650,0,6,www.philasd.org/schools/jhbrown,ELEMENTARY SCHOOL,0.25,1.5,5.25,1.75,0,40.5,27.25,9.75,2,1.5,94.4,14.66,3.68,7.56,73869
8230,95.18,372.8,35.8,29.4,22.86,40.76,8.1,18.36,9.88,0,69.44,CROSSAN ACADEMICS PLUS SCHOOL,"CROSSAN, KENNEDY C. SCHOOL",7350 BINGHAM ST.,19111,NA,PHILADELPHIA,PA,2157285014,0,5,www.philasd.org/schools/crossan,ELEMENTARY SCHOOL,0.25,0,0.75,0.25,0,6.75,5.25,0.75,0.25,0.5,95.25,11.3,2.32,7.52,71942.1875
8240,92.54,842,111.6,88.8,30.22,36.02,2.68,23.78,7.26,0,84.78,HAMILTON DISSTON SCHOOL,"DISSTON, HAMILTON SCHOOL",6801 COTTAGE ST.,19135,NA,PHILADELPHIA,PA,2153355661,0,8,www.philasd.org/schools/disston,ELEMENTARY SCHOOL,1.5,2.25,16.25,2,0.25,117,77.25,24.75,10,5,92.875,14.5,1.92,5.08,69850.36842
8250,94.3,1104.2,116,89,26.18,45.04,3.4,16.86,8.42,0,79.9,EDWIN FORREST SCHOOL,"FORREST, EDWIN SCHOOL",7300 COTTAGE ST.,19136,NA,PHILADELPHIA,PA,2153355652,0,6,www.philasd.org/schools/forrest,ELEMENTARY SCHOOL,0,1,4.75,2,0,38.75,32.75,4.25,0.75,1,94.05,9.9,0.76,3.24,73695.6
8260,94.86,395.6,40.4,20.8,22.78,51.58,9.78,9.92,5.92,0,58.66,FOX CHASE ACADEMICS PLUS SCHL,FOX CHASE SCHOOL,500 RHAWN ST.,19111,NA,PHILADELPHIA,PA,2157285016,0,5,www.philasd.org/schools/foxchase,ELEMENTARY SCHOOL,0,0.5,0.5,0,0,6.75,5.75,1,0,0,94.025,11.24,5.24,8.1,69960.71429
8270,93.2,454.4,58,49.4,30.54,39.04,7.4,13.7,9.18,0,80.94,THOMAS HOLME SCHOOL,"HOLME, THOMAS SCHOOL",9120 ACADEMY RD.,19114,NA,PHILADELPHIA,PA,2153355656,0,6,www.philasd.org/schools/holme,ELEMENTARY SCHOOL,0.25,0.5,7.75,1.5,0,58.75,40.5,11.5,4.25,2.5,90.225,16.98,1.28,8.54,68045.95833
8300,94.66,992,88.2,52.8,12.24,55.2,14.48,12.86,5.18,0,64.7,MAYFAIR SCHOOL,MAYFAIR SCHOOL,3001 PRINCETON AVE.,19149,NA,PHILADELPHIA,PA,2153355651,0,8,www.philasd.org/schools/mayfair,ELEMENTARY SCHOOL,0.25,0.75,2.5,3.25,0.75,31,21.5,4.5,3,2,95.9,8.96,3.38,12.84,67184.55556
8310,95.18,1134.2,128.2,75.2,36.26,16.96,17.58,19,10.12,0,68.84,J. HAMPTON MOORE SCHOOL,"MOORE, J. HAMPTON SCHOOL",6900 SUMMERDALE AVE.,19111,NA,PHILADELPHIA,PA,2157285011,0,5,www.philasd.org/schools/moore,ELEMENTARY SCHOOL,0,0.5,7.75,1.5,0,60.75,40.5,13.25,4.5,2.5,92.975,8.8,0.5,27.18,71616.29091
8320,93.2,196.8,11,12.6,29.66,54.78,3.92,8.5,3.02,0,63.18,GEN HARRY LABRUM MIDDLE SCHOOL,"LABRUM,GEN HARRY MIDDLE SCHOOL",10800 HAWLEY RD.,19154,NA,PHILADELPHIA,PA,2152812607,6,8,www.philasd.org/schools/labrum,MIDDLE SCHOOL,0.25,0,6.5,0.5,1,30.5,19,6.25,1.75,3.5,92.3,30.14,7.9,1.6,70799
8340,94.18,1181.6,130,76.6,29.14,16.44,23.64,22.88,7.9,0,72.42,SOLIS-COHEN ACADEMICS PLUS SCH,"SOLIS-COHEN, SOLOMON SCHOOL",7001 HORROCKS ST.,19149,NA,PHILADELPHIA,PA,2157285012,0,6,www.philasd.org/schools/solis-cohen,ELEMENTARY SCHOOL,0.25,0,6.5,0.75,0.25,81,51.25,16.5,8,5.25,95.125,14.48,1.56,20.76,69459.65625
8350,94.58,1317.2,132.6,101.2,42.36,13.48,16.94,22.58,4.6,0,77.84,GILBERT SPRUANCE SCHOOL,"SPRUANCE, GILBERT SCHOOL",6401 HORROCKS ST.,19149,NA,PHILADELPHIA,PA,2155372514,0,8,www.philasd.org/schools/spruance,ELEMENTARY SCHOOL,0.5,0.5,11.75,3.25,0.25,73.5,54.75,13,3.75,2,94.225,13.12,1.92,12.5,70802.30769
8360,95.48,525,52.8,38,21.28,29.3,19.8,17.44,12.2,0,68.68,RHAWNHURST SCHOOL,RHAWNHURST SCHOOL,7809 CASTOR AVE.,19152,NA,PHILADELPHIA,PA,2157285013,0,5,www.philasd.org/schools/rhawnhurst,ELEMENTARY SCHOOL,0,0,0.25,0.25,0,4,3.75,0.25,0,0,95.65,10,1.16,20.88,72355.96154
8370,95,445,44.4,18.2,13.02,63.4,10.4,8.3,4.74,0,54.06,WATSON COMLY SCHOOL,"COMLY, WATSON SCHOOL",1001 BYBERRY RD.,19116,NA,PHILADELPHIA,PA,2159612008,0,5,www.philasd.org/schools/comly,ELEMENTARY SCHOOL,0,0,1.25,1,0.5,5.25,4.75,0,0.5,0,95.725,15.92,4.12,8.48,69068.56522
8380,94.74,914,82.2,42.4,15.22,47.54,13.16,14.04,10,0.02,61.44,LOUIS H. FARRELL SCHOOL,"FARRELL, LOUIS H. SCHOOL",8300 CASTOR AVE.,19152,NA,PHILADELPHIA,PA,2157285009,0,8,www.philasd.org/schools/farrell,ELEMENTARY SCHOOL,0.5,0.5,3,1,0,28,20,5.25,1.25,1.5,94.475,13.72,2.4,16.62,72087.25
8390,93.72,803.6,73.4,47,18.22,62.54,4.64,9.96,4.62,0,60.24,A. L. FITZPATRICK SCHOOL,"FITZPATRICK, A. L. SCHOOL",11061 KNIGHTS RD.,19154,NA,PHILADELPHIA,PA,2152812602,0,8,,ELEMENTARY SCHOOL,0.5,0,13.5,1.75,0.5,67.75,42,13.5,6.5,5.75,93.1,16.16,2.82,4.12,73030.90476
8400,95.84,994.4,105.4,71.8,13.28,48.42,22.4,8.06,7.78,0,55.58,ANNE FRANK SCHOOL,"FRANK, ANNE SCHOOL",2000 BOWLER ST.,19115,NA,PHILADELPHIA,PA,2159612005,0,5,www.philasd.org/schools/annefrank,ELEMENTARY SCHOOL,0,0,0.75,0.5,0,24.5,19.5,3.75,0.5,0.75,92.775,7.38,1.64,13.48,74113.69811
8410,95.14,719.4,70.2,42.4,33.58,32.26,15.52,10.58,7.98,0,60.96,ROBERT B. POLLOCK SCHOOL,"POLLOCK, ROBERT B. SCHOOL",2850 WELSH RD.,19152,NA,PHILADELPHIA,PA,2159612004,0,6,www.philasd.org/schools/pollock,ELEMENTARY SCHOOL,0.25,0.5,3,0.75,0.5,23,17,3.25,2,0.75,94.625,11.72,3,13.62,71157.05714
8420,94.56,907.4,66.6,42,12.9,64.42,6.22,11.12,5.3,0,55.8,STEPHEN DECATUR SCHOOL,"DECATUR, STEPHEN SCHOOL",3500 ACADEMY RD.,19154,NA,PHILADELPHIA,PA,2152812606,0,8,www.philasd.org/schools/decatur,ELEMENTARY SCHOOL,0.75,0,4.75,1.25,0.75,50.25,35.75,8.25,3,3.25,94.1,16.7,4.98,3.56,71354.40426
8430,96.7,684.6,48,20.8,10.2,56.32,25.46,5.44,2.54,0.02,45.44,JOSEPH GREENBERG SCHOOL,"GREENBERG, JOSEPH SCHOOL",600 SHARON LN.,19115,NA,PHILADELPHIA,PA,2159612002,0,8,www.philasd.org/schools/greenberg,ELEMENTARY SCHOOL,0.25,0.5,1.25,0.5,0,8.5,7.5,0.5,0.25,0.25,96.025,14.84,8.74,5.04,69238.0303
8440,94.46,768.4,90.4,43,10.54,56.46,20.4,6.74,5.76,0.02,60.6,WILLIAM H. LOESCHE SCHOOL,"LOESCHE, WILLIAM H. SCHOOL",595 TOMLINSON RD.,19116,NA,PHILADELPHIA,PA,2159612000,0,5,www.philasd.org/schools/loesche,ELEMENTARY SCHOOL,0,0,3,1.75,0.25,36,27.5,5.75,2.25,0.5,93.35,13,1.38,21.74,76789.48649
